time,count
2023-04-28 01:40:00,22
2023-04-28 01:45:00,18
2023-04-28 01:50:00,16
2023-04-28 01:55:00,18
2023-04-28 02:00:00,13
2023-04-28 02:05:00,17
2023-04-28 02:10:00,13
2023-04-28 02:15:00,13
2023-04-28 02:20:00,10
2023-04-28 02:25:00,12
2023-04-28 02:30:00,9
2023-04-28 02:35:00,12
2023-04-28 02:40:00,9
2023-04-28 02:45:00,12
2023-04-28 02:50:00,10
2023-04-28 02:55:00,11
2023-04-28 03:00:00,9
2023-04-28 03:05:00,16
2023-04-28 03:10:00,16
2023-04-28 03:15:00,6
2023-04-28 03:20:00,14
2023-04-28 03:25:00,7
2023-04-28 03:30:00,16
2023-04-28 03:35:00,12
2023-04-28 03:40:00,8
2023-04-28 03:45:00,12
2023-04-28 03:50:00,12
2023-04-28 03:55:00,9
2023-04-28 04:00:00,10
2023-04-28 04:05:00,15
2023-04-28 04:10:00,6
2023-04-28 04:15:00,13
2023-04-28 04:20:00,12
2023-04-28 04:25:00,13
2023-04-28 04:30:00,12
2023-04-28 04:35:00,17
2023-04-28 04:40:00,19
2023-04-28 04:45:00,20
2023-04-28 04:50:00,16
2023-04-28 04:55:00,22
2023-04-28 05:00:00,16
2023-04-28 05:05:00,25
2023-04-28 05:10:00,35
2023-04-28 05:15:00,33
2023-04-28 05:20:00,34
2023-04-28 05:25:00,51
2023-04-28 05:30:00,61
2023-04-28 05:35:00,64
2023-04-28 05:40:00,67
2023-04-28 05:45:00,86
2023-04-28 05:50:00,88
2023-04-28 05:55:00,92
2023-04-28 06:00:00,135
2023-04-28 06:05:00,137
2023-04-28 06:10:00,156
2023-04-28 06:15:00,172
2023-04-28 06:20:00,209
2023-04-28 06:25:00,213
2023-04-28 06:30:00,241
2023-04-28 06:35:00,259
2023-04-28 06:40:00,295
2023-04-28 06:45:00,289
2023-04-28 06:50:00,281
2023-04-28 06:55:00,288
2023-04-28 07:00:00,293
2023-04-28 07:05:00,290
2023-04-28 07:10:00,296
2023-04-28 07:15:00,281
2023-04-28 07:20:00,303
2023-04-28 07:25:00,259
2023-04-28 07:30:00,220
2023-04-28 07:35:00,201
2023-04-28 07:40:00,204
2023-04-28 07:45:00,183
2023-04-28 07:50:00,170
2023-04-28 07:55:00,144
2023-04-28 08:00:00,121
2023-04-28 08:05:00,137
2023-04-28 08:10:00,113
2023-04-28 08:15:00,124
2023-04-28 08:20:00,104
2023-04-28 08:25:00,112
2023-04-28 08:30:00,126
2023-04-28 08:35:00,123
2023-04-28 08:40:00,118
2023-04-28 08:45:00,139
2023-04-28 08:50:00,114
2023-04-28 08:55:00,143
2023-04-28 09:00:00,122
2023-04-28 09:05:00,128
2023-04-28 09:10:00,128
2023-04-28 09:15:00,117
2023-04-28 09:20:00,116
2023-04-28 09:25:00,144
2023-04-28 09:30:00,130
2023-04-28 09:35:00,132
2023-04-28 09:40:00,120
2023-04-28 09:45:00,138
2023-04-28 09:50:00,123
2023-04-28 09:55:00,257
2023-04-28 10:00:00,304
2023-04-28 10:05:00,299
2023-04-28 10:10:00,291
2023-04-28 10:15:00,285
2023-04-28 10:20:00,267
2023-04-28 10:25:00,262
